CEP,NUM,LATITUDE,LONGITUDE
65010000,203816,-2.5731271,-44.2677939
65071380,2637,-2.4938318,-44.2701395
65045380,2516,-2.5534964,-44.2468177
65054005,2289,-2.5536041,-44.2127685
65066320,2159,-2.5152696,-44.2183666
65075441,2076,-2.4997688,-44.2853314
65066659,1860,-2.5022778,-44.2189344
65071383,1753,-2.4912479,-44.2443947
65067197,1740,-2.5141524,-44.2392688
65077357,1704,-2.4901727,-44.2999415
65065470,1441,-2.5217983,-44.2259830
65066902,1319,-2.5055071,-44.2173123
65070628,1127,-2.5067185,-44.2614522
65066260,1118,-2.5177133,-44.2267283
65066844,1012,-2.5104472,-44.2203328
65068500,984,-2.5009600,-44.2348345
65061670,931,-2.5349019,-44.2491306
65066350,901,-2.5234711,-44.2227482
65071415,878,-2.5391099,-44.2829046
65036284,844,-2.5586559,-44.2484088
65066635,826,-2.5391099,-44.2829046
65066190,799,-2.5225045,-44.2330129
65058483,782,-2.5873815,-44.1856328
65095602,753,-2.6142802,-44.3211591
65060641,746,-2.5307070,-44.2337051
65068380,689,-2.5097837,-44.2064042
65059820,662,-2.6001039,-44.2073410
65074115,660,-2.5149403,-44.2454973
65076320,653,-2.5573554,-44.3035680
65090842,648,-2.6322513,-44.2851289
65040360,644,-2.5616502,-44.2674342
65065180,642,-2.4885080,-44.2257429
65072120,636,-2.5054586,-44.2459679
65063300,624,-2.5330037,-44.2360540
65066335,592,-22.7386629,-47.2799748
65076137,583,-2.5077607,-44.3018604
65058532,582,-2.5957925,-44.1808947
65058006,579,-2.5803028,-44.1996318
65040000,578,-2.5440362,-44.2727516
65058005,565,-2.5365201,-44.2050439
65047640,563,-2.5393390,-44.2749289
65070280,551,-2.5117874,-44.2363307
65058502,549,-2.5969257,-44.1846311
65063030,536,-2.5283496,-44.2342686
65032540,534,-2.5441702,-44.2514815
65067190,530,-2.5156250,-44.2328466
65042410,524,-2.5391099,-44.2829046
65073480,513,-2.5129261,-44.2340734
65057470,507,-2.5599940,-44.2316294
65040210,504,-2.5636207,-44.2635133
65062190,494,-2.5290401,-44.2473107
65042815,490,-2.5526544,-44.2631349
65020250,488,-2.5310592,-44.2933754
65080000,486,-2.5624556,-44.3188218
65076506,481,-2.5068179,-44.3057208
65064451,477,-2.5225045,-44.2330129
65058533,474,-2.5877827,-44.1808882
65058526,472,-2.5958211,-44.1837464
65058512,466,-2.5884132,-44.1845819
65058003,464,-2.5841687,-44.2055281
65058001,457,-2.5362831,-44.2187084
65066200,455,-2.4861520,-44.2156046
65055285,451,-2.5688693,-44.2326214
65063510,445,-2.5326600,-44.2386426
65040460,444,-2.5424101,-44.2707943
65058038,443,-2.5683181,-44.1976085
65058008,442,-2.5802012,-44.1995959
65066420,439,-2.5225627,-44.2243117
65076090,437,-2.5131600,-44.3039115
65058039,435,-2.5682029,-44.1976393
65080160,434,-2.5683155,-44.3142774
65067380,432,-2.5097890,-44.2312256
65075090,429,-2.4970311,-44.2898969
65070290,429,-2.5124018,-44.2399761
65058007,423,-2.5623847,-44.1663997
65058037,422,-2.6064400,-44.1937750
65020260,412,-2.5282107,-44.2891967
65030015,410,-2.5443892,-44.2965481
65077635,409,-2.4909809,-44.2962118
65095820,408,-2.6055280,-44.2123555
65070370,408,-2.5244344,-44.2649148
65040430,405,-2.5476073,-44.2738688
65063686,405,-2.5290967,-44.2334692
65085790,399,-2.5608927,-44.3314938
65081400,394,-2.5707240,-44.3010354
65072023,386,-2.4896071,-44.2564185
65058024,384,-2.5403595,-44.2015710
65075770,383,-2.4981307,-44.2873933
65015460,379,-2.5340068,-44.2982715
65058051,376,-2.5684333,-44.1975777
65035570,374,-2.5302381,-44.2780432
65061512,374,-2.5332150,-44.2471113
65061500,369,-2.5326899,-44.2473322
65044020,367,-2.5616502,-44.2674342
65095000,366,-2.5344688,-44.2863742
65031360,366,-2.5382051,-44.2840261
65061000,365,-2.5391099,-44.2829046
65055353,361,-2.5726485,-44.2144003
65046660,360,-2.5516619,-44.2392000
65060700,356,-2.5412973,-44.2318005
65058009,354,-2.6002363,-44.2323777
65058737,354,-2.5762156,-44.1914988
65075775,353,-2.4965762,-44.2884343
65068212,351,-2.4935039,-44.2153430
65058536,347,-2.5867463,-44.1951736
65076730,342,-2.5056644,-44.3043972
65055180,340,-2.5728933,-44.2265518
65075240,339,-2.4971795,-44.2909520
65075180,336,-2.5063422,-44.2967642
65062750,335,-2.5263651,-44.2374428
65066194,331,-2.5613419,-44.2605457
65058484,330,-2.5896038,-44.1872785
65086000,327,-2.5522587,-44.3305004
65067838,327,-2.4921982,-44.2175784
65058026,323,-2.5676706,-44.1977181
65041470,322,-2.5631152,-44.2623316
65058510,322,-2.5958364,-44.1883648
65076170,317,-2.4864510,-44.2682961
65058264,309,-23.3179021,-45.9713038
65061480,309,-2.5857219,-44.1984095
65055600,308,-2.5730091,-44.2274569
65015560,308,-2.5421245,-44.2821669
65045180,303,-2.5494196,-44.2407024
65070400,303,-2.5187188,-44.2623926
65060340,301,-2.5395501,-44.2241329
65075340,301,-2.5015406,-44.2850969
65075390,301,-2.4949147,-44.2928932
65042650,299,-2.5661117,-44.2648783
65056040,297,-2.5615029,-44.2207912
65092180,294,-2.6184073,-44.2397223
65058508,294,-2.6008779,-44.1872065
65055310,294,-2.5636334,-44.2317104
65059821,293,-2.5391099,-44.2829046
65061470,293,-2.5315688,-44.2484525
65074199,292,-2.5176921,-44.2550161
65044650,291,-2.5605954,-44.2650175
65058011,291,-2.5660825,-44.1655524
65045020,290,-2.5536384,-44.2419784
65068619,290,-2.4881603,-44.2133506
65040140,289,-2.5460879,-44.2737286
65071377,289,-2.4874754,-44.2717296
65061530,288,-2.5332510,-44.2471811
65061490,288,-2.5857219,-44.1984095
65068096,286,-2.4910864,-44.2219206
65035020,286,-2.5252819,-44.2860444
65045550,285,-2.5408169,-44.2588465
65015270,284,-2.5395431,-44.2959494
65030380,283,-2.5474048,-44.2804268
65055820,283,-2.5662648,-44.2407036
65025190,279,-5.0840520,-48.4281601
65058529,279,-2.5958169,-44.1817839
65042375,277,-2.5508677,-44.2700427
65055190,276,-2.5716179,-44.2270477
65040020,275,-2.5432899,-44.2710342
